Phase,Name,Start,End,Color,Duration
Other,Ins,93,113,Blue,20
Answer-making,John,113,116,Red,3
Sense-making,Larry,116,134,Purple,18
Sense-making,John,134,139,Purple,5
Sense-making,Larry,139,147,Purple,8
Answer-making,John,147,150,Red,3
Other,Pause,150,165,green,15
Sense-making,Matt,165,169,Purple,4
Answer-making,John,169,173,Red,4
Answer-making,Matt,173,177,Red,4
Other,John,177,179,Blue,2
Other,Pause,179,183,green,4
Other,Ins,183,192,Blue,9
Other,Pause,192,207,green,15
Other,John,207,209,Blue,2
Other,Pause,209,232,green,23
Answer-making,Ins,232,234,Red,2
Answer-making,John,234,236,Red,2
Other,Ins,236,237,Blue,1
Other,John,237,238,Blue,1
Other,Pause,238,272,green,34
Answer-making,John,272,274,Red,2
Sense-making,Ins,274,281,Purple,7
Answer-making,John,281,294,Red,13
Sense-making,Larry,294,307,Purple,13
Answer-making,Matt,307,313,Red,6
Other,John,313,315,Blue,2
Answer-making,Matt,315,320,Red,5
Answer-making,John,320,326,Red,6
Other,Ins,326,335,Blue,9
Other,Pause,335,345,green,10
Answer-making,Matt,345,347,Red,2
Other,Pause,347,371,green,24
Answer-making,Larry,371,373,Red,2
Answer-making,John,373,379,Red,6
Answer-making,Matt,379,382,Red,3
Other,Larry,382,383,Blue,1
Other,Matt,383,385,Blue,2
Other,Pause,385,413,green,28
Sense-making,Matt,413,458,Purple,45
Sense-making,Matt,458,484,Purple,26
Answer-making,John,484,511,Red,27
Other,Pause,511,524,green,13
Answer-making,John,524,532,Red,8
Other,Pause,532,627,green,95
Answer-making,Ins,627,629,Red,2
Other,John,629,630,Blue,1
Other,Larry,630,631,Blue,1
Answer-making,Matt,631,633,Red,2
Sense-making,Ins,633,637,Purple,4
Other,Matt,637,638,Blue,1
Answer-making,John,638,641,Red,3
Sense-making,Ins,641,643,Purple,2
Other,Larry,643,644,Blue,1
Sense-making,Ins,644,650,Purple,6
Other,Pause,650,711,green,61
Sense-making,Larry,711,713,Purple,2
Answer-making,Matt,713,715,Red,2
Sense-making,Pause,715,717,green,2
Answer-making,Matt,717,719,Red,2
Sense-making,Ins,719,723,Purple,4
Sense-making,Ins,723,729,Purple,6
Answer-making,Ins,729,732,Red,3
Answer-making,Ins,732,739,Red,7
Other,Pause,739,751,green,12
Answer-making,Larry,751,754,Red,3
Sense-making,Matt,754,759,Purple,5
Sense-making,Larry,759,769,Purple,10
Answer-making,Pause,769,791,green,22
Other,Ins,791,830,Blue,39
Other,Pause,830,839,green,9
